490   74467.0016	25.0 18.9 23.7  6.7
498   75025.4141	23.0  6.8 29.1  7.1
500   75784.0547	23.1  7.0 23    6
511   76900.8328	24.3  7.5 23    6.1
512   77159.5641	23.1  6.2 29.8  7.9 
514   77580.7734	23.7  5.9 25.0  7.0
518   78009.3250	23.0  6.1 24.9  7.0
522   78367.0547	25.0  7.0 24.1  6.0
524   78755.6391	24.0  6.0 25.0  8.0
530   79775.9141	25.0  8.0 24.38 7.42 
535   80307.9422	26.8  8.8 24.5 12.3
538   80527.6562	29.0 11.8 25.3  8.2
540   80736.0078	25.1  8.1 24.1  7.0
1097  80909.5609	24.2  7.2 25.5  8.6
543   81159.3828	25.5  8.6 23.3  6.2
545   81492.8531	23.9  6.9 26.0  7.9
549   81870.1719	26.0  8.9 25.0  7.9
552   82360.6141	25.0  7.8 26.2  9.2
556   82923.7578	26.0  8.8 26.4  8.2
562   83514.6875	25.1  8.0 21.0  8.8
565   83837.7422	21.0  8.8 25.7  8.3
569   84314.3828	25.5  8.2 25.5  9.8
571   84475.9656	24.5  9.0 25.0  7.8
575   84882.0734	24.1  7.0 26.2  9.1
581   85668.3047	24.8  7.3 25.9  8.5
585   86180.3438	21.3  9.0 25.2  8.0
589   97.8959122	25.7  7.4 26.9  9.4
596   825.241638	25.8  8.1 26.2  8.0
598   1041.96619	25.4  8.0 26.8  9.3
